Country,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
0,15.0,-2.7,7.6,1.0,10.2,18.0,34039.9
0,15.5,0.8,8.6,1.0,11.3,22.3,34097.92
0,15.3,-0.1,8.2,1.0,11.8,22.7,33845.82
0,15.0,-0.2,8.6,1.0,9.7,16.2,33706.44
0,14.3,-0.4,7.8,1.0,10.1,20.5,33971.95
0,13.8,-0.1,7.5,1.0,17.0,33.5,34340.97
0,15.5,2.0,8.6,1.0,20.8,43.2,33627.75
0,13.0,-1.0,6.1,1.0,28.0,55.8,34628.2
0,14.3,-0.1,6.6,1.0,21.1,44.6,34776.74
0,13.6,-0.8,7.1,1.0,11.5,25.6,34845.05
0,16.5,1.7,9.5,1.0,13.2,27.4,34828.35
0,15.3,2.4,9.4,1.0,11.1,25.6,34982.11
0,15.6,3.1,10.1,1.0,11.4,23.8,35139.09
0,15.4,1.9,9.3,1.0,17.4,33.5,35209.02
0,15.0,3.5,9.0,1.0,24.3,46.4,34726.59
0,9.1,-2.8,2.7,1.0,25.4,47.9,35558.43
0,11.5,-3.7,3.4,1.0,21.4,42.8,35650.05
0,12.3,-5.7,3.7,1.0,17.1,35.6,35742.39
0,13.5,-6.2,4.5,1.0,10.0,19.1,35835.45
0,15.0,-2.0,7.3,1.0,10.2,24.1,35930.08
0,15.4,-1.3,7.6,1.0,15.0,27.7,36026.5
0,14.7,-1.3,7.1,1.0,17.3,34.9,36124.56
0,14.8,0.5,8.2,1.0,16.6,33.5,36224.14
0,16.4,4.4,10.4,1.0,10.5,24.5,36325.12
0,16.5,-0.4,9.0,1.0,12.8,27.4,36427.36
0,20.1,-0.4,10.8,1.0,18.5,39.2,36530.74
0,19.9,-0.2,10.8,1.0,15.8,34.2,36635.16
0,17.9,3.2,10.5,1.0,17.7,33.5,36740.48
0,15.6,-1.0,8.8,1.0,13.8,31.0,36846.59
0,13.5,4.8,9.1,0.8,15.3,34.6,29756.61
0,15.4,0.8,8.7,1.0,19.8,36.4,37060.74
0,17.6,-0.3,9.8,1.0,9.5,24.1,37168.57
0,17.0,6.7,11.9,0.1,15.9,33.5,28245.49
0,18.4,3.4,12.1,1.0,13.3,27.0,37385.19
0,18.5,3.4,12.5,1.0,14.2,28.8,37493.77
0,15.8,8.4,12.4,0.3,22.2,42.8,32792.09
0,20.1,6.2,12.8,0.9,23.2,43.9,37711.0
0,19.2,2.9,11.8,1.0,20.9,41.0,37819.46
0,20.4,8.5,14.3,1.0,23.5,44.3,35804.27
0,20.9,10.4,15.4,0.2,22.2,43.2,38036.52
0,19.9,7.3,14.3,0.1,18.4,40.3,38146.24
0,17.8,7.0,12.0,1.0,25.5,51.1,38256.79
